21:13:28.988 -> angle read:15.00 | controller signal:1540.00 | 
21:13:29.022 -> angle read:15.00 | controller signal:1540.00 | 
21:13:29.056 -> angle read:14.00 | controller signal:1541.10 | 
21:13:29.124 -> angle read:14.00 | controller signal:1541.10 | 
21:13:29.159 -> angle read:15.00 | controller signal:1541.10 | 
21:13:29.227 -> angle read:15.00 | controller signal:1529.10 | 
21:13:29.261 -> angle read:14.00 | controller signal:1529.10 | 
21:13:29.329 -> angle read:14.00 | controller signal:1542.20 | 
21:13:29.363 -> angle read:15.00 | controller signal:1542.20 | 
21:13:29.432 -> angle read:16.00 | controller signal:1517.10 | 
21:13:29.466 -> angle read:14.00 | controller signal:1517.10 | 
21:13:29.534 -> angle read:14.00 | controller signal:1542.20 | 
21:13:29.568 -> angle read:15.00 | controller signal:1542.20 | 
21:13:29.635 -> angle read:14.00 | controller signal:1542.20 | 
21:13:29.669 -> angle read:15.00 | controller signal:1530.20 | 
21:13:29.738 -> angle read:15.00 | controller signal:1530.20 | 
21:13:29.772 -> angle read:15.00 | controller signal:1530.20 | 
21:13:29.806 -> angle read:15.00 | controller signal:1530.20 | 
21:13:29.873 -> angle read:15.00 | controller signal:1530.20 | 
21:13:29.907 -> angle read:15.00 | controller signal:1530.20 | 
21:13:29.975 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.010 -> angle read:14.00 | controller signal:1530.20 | 
21:13:30.080 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.115 -> angle read:14.00 | controller signal:1530.20 | 
21:13:30.185 -> angle read:16.00 | controller signal:1530.20 | 
21:13:30.219 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.289 -> angle read:14.00 | controller signal:1530.20 | 
21:13:30.324 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.358 -> angle read:14.00 | controller signal:1530.20 | 
21:13:30.426 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.461 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.531 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.566 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.635 -> angle read:16.00 | controller signal:1530.20 | 
21:13:30.670 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.705 -> angle read:15.00 | controller signal:1530.20 | 
21:13:30.775 -> angle read:14.00 | controller signal:1530.20 | 
21:13:30.809 -> angle read:15.00 | controller signal:1530.20 | 
